common_name,n
GREENLACE JAPANESE MAPLE,3
HIMALAYAN WHITE PINE,3
HYBRID POPLAR,3
INDIA PLUM,3
ITALIAN PLUM,3
JAPANESE WHITE PINE,3
MAGNOLIA 'RUSTICA RUBRA',3
ORIENTAL ARBORVITAE,3
ORIENTAL PLANE TREE,3
SASKATOON BERRY,3
SEA BUCKTHORN,3
STINKING ASH,3
TRICOLOR DOGWOOD,3
TURKISH MOUNTAIN ASH,3
UMBRELLA PINE,3
WEEPING HIGAN CHERRY,3
WEEPING KATSURA TREE,3
WEEPING LAWSON CYPRESS,3
WHITE WILLOW,3
APRICOT,2
CAUCASIAN WING NUT,2
CHINESE JUNIPER,2
CONTORTED FILBERT,2
CRIMSON QUEEN JAPANESE MAPLE,2
DIVERSIFOLIA EUROPEAN ASH,2
EASTERN WHITE PINE,2
ELEY FLOWERING CRABAPPLE,2
EUCALYPTUS,2
EUROPEAN BLACK ALDER,2
GLORYBOWER,2
GRAY POPLAR,2
HUANGSHAN MAGNOLIA,2
JAPANESE BLACK PINE,2
JAPANESE CHESTNUT,2
JEFFREY PINE,2
LEYLAND CYPRESS,2
MAGNOLIA 'ATHENE',2
MAGNOLIA 'BETTY',2
MAGNOLIA 'EDITH BOGUE',2
MAGNOLIA 'LEONARD MESSEL',2
MANCHURIAN BIRCH,2
MICHELIA TREE,2
MIYAKO CHERRY,2
MULAN MAGNOLIA,2
NORTHERN GEM ASH,2
ORIENTAL SPRUCE,2
PARKWAY MAPLE,2
PURPLE-LEAF HYBRID CRABAPPLE,2
PYRAMIDAL SINGLESEED HAWTHORN,2
SHANTUNG MAPLE,2
SILVER QUEEN MAPLE,2
SOURWOOD,2
SWAT MAGRET PURPLE BEECH,2
UMBRELLA CATALPA,2
ZENI MAGNOLIA,2
ALPINE FIR,1
BITTER CHERRY,1
BOSC PEAR,1
CAMPERDOWN ELM,1
CASTOR ARALIA,1
CHEROKEE SWEETGUM,1
CHINESE CATALPA,1
COMMON PEACH,1
CORIGO GIANT DOGWOOD,1
CUTLEAF ENGLISH WALNUT,1
CUTLEAF NORWAY MAPLE,1
DAWSON'S MAGNOLIA,1
DWARF SCOTCH PINE,1
FIG SPECIES SPECIES,1
GINGER GOLD APPLE,1
GOLDEN EUROPEAN ASH,1
JADE GREEN NORWAY MAPLE,1
JONAGOLD APPLE,1
KOREAN STEWARTIA,1
"MAGNOLIA ""CHARLES COATES""",1
MAGNOLIA 'BIG DUDE',1
MAGNOLIA 'BLUSHING BELLE',1
MAGNOLIA 'BUTTERFLIES',1
MAGNOLIA 'CAMEO',1
